instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
12602626,49229,NIFTY26JANFUT,NIFTY,0.0,2026-01-27,0.0,0.1,65,FUT,NFO-FUT,NFO
15150594,59182,NIFTY26FEBFUT,NIFTY,0.0,2026-02-24,0.0,0.1,65,FUT,NFO-FUT,NFO
13238786,51714,NIFTY26MARFUT,NIFTY,0.0,2026-03-30,0.0,0.1,65,FUT,NFO-FUT,NFO
12601346,49224,BANKNIFTY26JANFUT,BANKNIFTY,0.0,2026-01-27,0.0,0.2,30,FUT,NFO-FUT,NFO
15148802,59175,BANKNIFTY26FEBFUT,BANKNIFTY,0.0,2026-02-24,0.0,0.2,30,FUT,NFO-FUT,NFO
13235458,51701,BANKNIFTY26MARFUT,BANKNIFTY,0.0,2026-03-30,0.0,0.2,30,FUT,NFO-FUT,NFO
12604162,49235,360ONE26JANFUT,360ONE,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
15152130,59188,360ONE26FEBFUT,360ONE,0.0,2026-02-24,0.0,0.1,500,FUT,NFO-FUT,NFO
13240834,51722,360ONE26MARFUT,360ONE,0.0,2026-03-30,0.0,0.1,500,FUT,NFO-FUT,NFO
12604418,49236,ABB26JANFUT,ABB,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
15152386,59189,ABB26FEBFUT,ABB,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
13241090,51723,ABB26MARFUT,ABB,0.0,2026-03-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12604674,49237,ABCAPITAL26JANFUT,ABCAPITAL,0.0,2026-01-27,0.0,0.05,3100,FUT,NFO-FUT,NFO
15152642,59190,ABCAPITAL26FEBFUT,ABCAPITAL,0.0,2026-02-24,0.0,0.05,3100,FUT,NFO-FUT,NFO
13241346,51724,ABCAPITAL26MARFUT,ABCAPITAL,0.0,2026-03-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
12605186,49239,ADANIENSOL26JANFUT,ADANIENSOL,0.0,2026-01-27,0.0,0.1,675,FUT,NFO-FUT,NFO
15153410,59193,ADANIENSOL26FEBFUT,ADANIENSOL,0.0,2026-02-24,0.0,0.1,675,FUT,NFO-FUT,NFO
13241602,51725,ADANIENSOL26MARFUT,ADANIENSOL,0.0,2026-03-30,0.0,0.1,675,FUT,NFO-FUT,NFO
12605442,49240,ADANIENT26JANFUT,ADANIENT,0.0,2026-01-27,0.0,0.1,309,FUT,NFO-FUT,NFO
15153666,59194,ADANIENT26FEBFUT,ADANIENT,0.0,2026-02-24,0.0,0.1,309,FUT,NFO-FUT,NFO
13242370,51728,ADANIENT26MARFUT,ADANIENT,0.0,2026-03-30,0.0,0.1,309,FUT,NFO-FUT,NFO
12605698,49241,ADANIGREEN26JANFUT,ADANIGREEN,0.0,2026-01-27,0.0,0.1,600,FUT,NFO-FUT,NFO
15155458,59201,ADANIGREEN26FEBFUT,ADANIGREEN,0.0,2026-02-24,0.0,0.1,600,FUT,NFO-FUT,NFO
13242626,51729,ADANIGREEN26MARFUT,ADANIGREEN,0.0,2026-03-30,0.0,0.1,600,FUT,NFO-FUT,NFO
12605954,49242,ADANIPORTS26JANFUT,ADANIPORTS,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
15155714,59202,ADANIPORTS26FEBFUT,ADANIPORTS,0.0,2026-02-24,0.0,0.1,475,FUT,NFO-FUT,NFO
13243906,51734,ADANIPORTS26MARFUT,ADANIPORTS,0.0,2026-03-30,0.0,0.1,475,FUT,NFO-FUT,NFO
12610306,49259,ALKEM26JANFUT,ALKEM,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
15155970,59203,ALKEM26FEBFUT,ALKEM,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
13244162,51735,ALKEM26MARFUT,ALKEM,0.0,2026-03-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12610562,49260,AMBER26JANFUT,AMBER,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
15156226,59204,AMBER26FEBFUT,AMBER,0.0,2026-02-24,0.0,0.5,100,FUT,NFO-FUT,NFO
13244418,51736,AMBER26MARFUT,AMBER,0.0,2026-03-30,0.0,0.5,100,FUT,NFO-FUT,NFO
12611330,49263,AMBUJACEM26JANFUT,AMBUJACEM,0.0,2026-01-27,0.0,0.05,1050,FUT,NFO-FUT,NFO
15156482,59205,AMBUJACEM26FEBFUT,AMBUJACEM,0.0,2026-02-24,0.0,0.05,1050,FUT,NFO-FUT,NFO
13244674,51737,AMBUJACEM26MARFUT,AMBUJACEM,0.0,2026-03-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
12611842,49265,ANGELONE26JANFUT,ANGELONE,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
15156738,59206,ANGELONE26FEBFUT,ANGELONE,0.0,2026-02-24,0.0,0.1,250,FUT,NFO-FUT,NFO
13247234,51747,ANGELONE26MARFUT,ANGELONE,0.0,2026-03-30,0.0,0.1,250,FUT,NFO-FUT,NFO
12612098,49266,APLAPOLLO26JANFUT,APLAPOLLO,0.0,2026-01-27,0.0,0.1,350,FUT,NFO-FUT,NFO
15156994,59207,APLAPOLLO26FEBFUT,APLAPOLLO,0.0,2026-02-24,0.0,0.1,350,FUT,NFO-FUT,NFO
13247490,51748,APLAPOLLO26MARFUT,APLAPOLLO,0.0,2026-03-30,0.0,0.1,350,FUT,NFO-FUT,NFO
12612354,49267,APOLLOHOSP26JANFUT,APOLLOHOSP,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
15157250,59208,APOLLOHOSP26FEBFUT,APOLLOHOSP,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
13249538,51756,APOLLOHOSP26MARFUT,APOLLOHOSP,0.0,2026-03-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12612866,49269,ASHOKLEY26JANFUT,ASHOKLEY,0.0,2026-01-27,0.0,0.01,5000,FUT,NFO-FUT,NFO
15157506,59209,ASHOKLEY26FEBFUT,ASHOKLEY,0.0,2026-02-24,0.0,0.01,5000,FUT,NFO-FUT,NFO
13249794,51757,ASHOKLEY26MARFUT,ASHOKLEY,0.0,2026-03-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
12613122,49270,ASIANPAINT26JANFUT,ASIANPAINT,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
15157762,59210,ASIANPAINT26FEBFUT,ASIANPAINT,0.0,2026-02-24,0.0,0.1,250,FUT,NFO-FUT,NFO
13253890,51773,ASIANPAINT26MARFUT,ASIANPAINT,0.0,2026-03-30,0.0,0.1,250,FUT,NFO-FUT,NFO
12614914,49277,ASTRAL26JANFUT,ASTRAL,0.0,2026-01-27,0.0,0.1,425,FUT,NFO-FUT,NFO
15158018,59211,ASTRAL26FEBFUT,ASTRAL,0.0,2026-02-24,0.0,0.1,425,FUT,NFO-FUT,NFO
13254146,51774,ASTRAL26MARFUT,ASTRAL,0.0,2026-03-30,0.0,0.1,425,FUT,NFO-FUT,NFO
12615170,49278,AUBANK26JANFUT,AUBANK,0.0,2026-01-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
15158530,59213,AUBANK26FEBFUT,AUBANK,0.0,2026-02-24,0.0,0.05,1000,FUT,NFO-FUT,NFO
13259522,51795,AUBANK26MARFUT,AUBANK,0.0,2026-03-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
12615426,49279,AUROPHARMA26JANFUT,AUROPHARMA,0.0,2026-01-27,0.0,0.1,550,FUT,NFO-FUT,NFO
15158786,59214,AUROPHARMA26FEBFUT,AUROPHARMA,0.0,2026-02-24,0.0,0.1,550,FUT,NFO-FUT,NFO
13259778,51796,AUROPHARMA26MARFUT,AUROPHARMA,0.0,2026-03-30,0.0,0.1,550,FUT,NFO-FUT,NFO
12616194,49282,AXISBANK26JANFUT,AXISBANK,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
15159042,59215,AXISBANK26FEBFUT,AXISBANK,0.0,2026-02-24,0.0,0.1,625,FUT,NFO-FUT,NFO
13264130,51813,AXISBANK26MARFUT,AXISBANK,0.0,2026-03-30,0.0,0.1,625,FUT,NFO-FUT,NFO
